Date,Entity,Value
2020-05-14,PORTFOLIO,8243.30093270693
2020-05-15,PORTFOLIO,8255.837742213433
2020-05-18,PORTFOLIO,8579.830417637999
2020-05-19,PORTFOLIO,8445.34071002648
2020-05-20,PORTFOLIO,8618.013944404476
2020-05-21,PORTFOLIO,8536.275364844962
2020-05-22,PORTFOLIO,8532.549288168348
2020-05-26,PORTFOLIO,8684.925334545684
2020-05-27,PORTFOLIO,8836.39695217573
2020-05-28,PORTFOLIO,8775.392568203722
2020-05-29,PORTFOLIO,8798.430236564187
2020-06-01,PORTFOLIO,8838.745489237217
2020-06-02,PORTFOLIO,8943.702336297478
2020-06-03,PORTFOLIO,9097.153133543403
2020-06-04,PORTFOLIO,9103.119190831972
2020-06-05,PORTFOLIO,9429.94459114425
2020-06-08,PORTFOLIO,9596.099774059026
2020-06-09,PORTFOLIO,9457.88723687346
2020-06-10,PORTFOLIO,9312.032231723308
2020-06-11,PORTFOLIO,8666.528497293095
2020-06-12,PORTFOLIO,8817.166954269947
2020-06-15,PORTFOLIO,8884.368367323541
2020-06-16,PORTFOLIO,9079.34160621435
2020-06-17,PORTFOLIO,8980.383582404405
2020-06-18,PORTFOLIO,9002.982098795752
2020-06-19,PORTFOLIO,8958.324929327084
2020-06-22,PORTFOLIO,8996.128207135856
2020-06-23,PORTFOLIO,9035.323595232858
2020-06-24,PORTFOLIO,8737.308143099197
2020-06-25,PORTFOLIO,8875.405437991656
2020-06-26,PORTFOLIO,8639.221210545591
2020-06-29,PORTFOLIO,8741.41698196981
2020-06-30,PORTFOLIO,8888.904197031097
2020-07-01,PORTFOLIO,8859.352590642435
2020-07-02,PORTFOLIO,8914.779939797862
2020-07-06,PORTFOLIO,9030.949262181872
2020-07-07,PORTFOLIO,8883.343224594444
2020-07-08,PORTFOLIO,8943.232222514021
2020-07-09,PORTFOLIO,8799.265201384504
2020-07-10,PORTFOLIO,8929.29580546767
2020-07-13,PORTFOLIO,8884.990791015454
2020-07-14,PORTFOLIO,9035.152467046777
2020-07-15,PORTFOLIO,9159.867625006276
2020-07-16,PORTFOLIO,9119.889622498746
2020-07-17,PORTFOLIO,9118.474323882176
2020-07-20,PORTFOLIO,9140.775753189233
2020-07-21,PORTFOLIO,9271.60179785992
